gene_raw	rna_log2fc	rna_fdr	gene_name
AL031123.4	-3.4857932070132334	2.622586079040307e-23	AL031123.4
AC127070.4	1.8926901059910808	2.668894209694492e-23	AC127070.4
MIR324	2.9737643796723616	2.7774040567344673e-23	MIR324
MCEMP1	2.054261505684916	2.8117501059136746e-23	MCEMP1
AP001021.1	-2.7413588352292315	2.819918497936147e-23	AP001021.1
PRAL	2.10961045809349	2.8215015081227416e-23	PRAL
OBP2A	3.863138215646672	2.848828677571907e-23	OBP2A
ZNF806	-2.059692685695636	2.857147828917544e-23	ZNF806
AL357079.3	1.1548832422974769	2.863127863529074e-23	AL357079.3
AC003984.1	2.2512299379825254	2.938205183520036e-23	AC003984.1
AC107081.1	2.1453721578969978	2.998132611886905e-23	AC107081.1
AL445253.1	-2.0544162091482123	3.001538064217498e-23	AL445253.1
MARCO	2.3876901409969684	3.012312517046089e-23	MARCO
AC093496.1	-3.2859304325553884	3.023297579236962e-23	AC093496.1
U2AF1L4	1.1751189473300847	3.0394522146148224e-23	U2AF1L4
CYP3A4	-2.0682194728415784	3.063460785354184e-23	CYP3A4
ANK3	-1.3636702799766691	3.0692218725265955e-23	ANK3
SMIM10L2B	-1.487259951860164	3.128581658230566e-23	SMIM10L2B
EGILA	2.6784567312006256	3.148684468898903e-23	EGILA
GBAP1	1.1229545814310615	3.159391421231268e-23	GBAP1
AL121796.1	-3.13920864269679	3.220426205077887e-23	AL121796.1
LINC01730	2.10244350499112	3.226584132685945e-23	LINC01730
DNAJC22	1.088221529687314	3.255786874817879e-23	DNAJC22
AL645924.2	2.2390090674782765	3.287070879472614e-23	AL645924.2
FAM245B	-2.7171238697001496	3.3148094323115724e-23	FAM245B
EFCAB8	2.570823349779315	3.350848661543042e-23	EFCAB8
PRODH2	-2.273939597843408	3.3540532287509444e-23	PRODH2
ZNF667-AS1	-1.349190075663542	3.376383736666625e-23	ZNF667-AS1
AC090204.1	1.8094648170452348	3.4325733982135e-23	AC090204.1
ENKUR	1.5221256963446164	3.433027271358896e-23	ENKUR
AL451085.1	-1.3896391112728088	3.439423870073998e-23	AL451085.1
AC021945.1	2.2202102485926543	3.442363640324479e-23	AC021945.1
TMEM30BP1	1.3298729064565014	3.4986895457759525e-23	TMEM30BP1
HLA-U	1.611520868893168	3.517078788269322e-23	HLA-U
AL357079.1	1.4617723938876583	3.541768825542028e-23	AL357079.1
AZU1	2.3886400758141506	3.639995833875632e-23	AZU1
C4A	1.691814111081098	3.646461485135776e-23	C4A
AC106793.1	-1.2788723920803198	3.6633572806397584e-23	AC106793.1
LINC02803	2.001669279699973	3.689717881100468e-23	LINC02803
AC022898.1	2.6260732306369112	3.696928868836884e-23	AC022898.1
DBX2	-2.5612312678395748	3.75739342632678e-23	DBX2
P2RX5	1.9932761300108857	3.8436992859798203e-23	P2RX5
COL18A1-AS1	-2.1884246258290703	3.8947575803428613e-23	COL18A1-AS1
AC127070.1	-1.318055969581919	3.981990117275188e-23	AC127070.1
AC002558.1	2.4879263860556087	4.0003720548636044e-23	AC002558.1
AL139123.1	2.123578391516889	4.0075168636801196e-23	AL139123.1
AC008991.1	3.725105999010258	4.0243025374383697e-23	AC008991.1
SLFN14	2.2089884332088485	4.180198896448456e-23	SLFN14
CICP14	1.257051732786395	4.192939041455913e-23	CICP14
ZNF157	-1.2688875600853442	4.2255277202824974e-23	ZNF157
CDRT4	1.616127966250774	4.360232472572361e-23	CDRT4
PITX1	3.674792562578183	4.3837246562610263e-23	PITX1
HLA-DPA3	3.488502503755305	4.392206512576992e-23	HLA-DPA3
AC007362.1	2.9806976692415903	4.407107333532683e-23	AC007362.1
CD28	1.4207412801761097	4.422152037680822e-23	CD28
RPL4P3	1.4895214518926052	4.456335937579674e-23	RPL4P3
AL133371.2	1.3355220549561009	4.57717539592609e-23	AL133371.2
PARM1	-1.146687476442864	4.583008636701557e-23	PARM1
GTF3C2-AS1	2.1868637512094296	4.715015708602176e-23	GTF3C2-AS1
LRRN2	-2.309207774381602	4.764804767455469e-23	LRRN2
AP000593.3	2.1001325128012027	4.784993084660354e-23	AP000593.3
GAPDHP60	1.3573437671178403	4.8188548114769434e-23	GAPDHP60
GPX3	-1.6214595198223725	4.851451230767304e-23	GPX3
AL356750.1	1.8338543362402844	4.853957318339595e-23	AL356750.1
ELAPOR1	1.6937342839347596	4.8685586968485203e-23	ELAPOR1
AL713998.1	3.928902409816229	4.89295654176814e-23	AL713998.1
TIAF1	1.15838644437346	4.900807758475461e-23	TIAF1
AP001020.3	2.127849794025714	4.93407068162427e-23	AP001020.3
FPR1	1.553612568860511	4.9410386308325677e-23	FPR1
MEGF6	1.360499316910173	4.963574559557703e-23	MEGF6
FAM78B	1.3962399530447742	5.0009081578890083e-23	FAM78B
AL121985.1	2.7122859135343416	5.072208972620469e-23	AL121985.1
ST6GALNAC3	-1.2260385708653818	5.081069952159974e-23	ST6GALNAC3
RIMBP3	1.332157759391877	5.115581351768684e-23	RIMBP3
LINC02675	-2.9865219979140325	5.141786821237248e-23	LINC02675
CENPUP2	2.91505504056976	5.1680793685499787e-23	CENPUP2
ITLN2	-3.017556376206672	5.1899510680099163e-23	ITLN2
TBC1D3B	2.300141403742244	5.235762647032584e-23	TBC1D3B
LINC02345	1.5515850004679346	5.331427454301606e-23	LINC02345
AC079250.1	1.1693288827125017	5.454449401859055e-23	AC079250.1
BTG1P1	1.9037805352198296	5.476422389860541e-23	BTG1P1
ANKRD9	-1.202704549162562	5.482935518244342e-23	ANKRD9
AL049552.1	1.6443020136824162	5.49435321301284e-23	AL049552.1
TMEM200A	1.2963876855636132	5.587178306491552e-23	TMEM200A
AC022558.3	1.6655914542095516	5.645981722879219e-23	AC022558.3
TBC1D27P	2.975302716108976	5.665058783162997e-23	TBC1D27P
NEFH	-1.2734195446725205	5.673538419787243e-23	NEFH
AL135844.1	2.227025793081908	5.686611235083003e-23	AL135844.1
KIAA1549L	-2.032905790762868	5.725266889949686e-23	KIAA1549L
TRBV14	2.4147529646437	5.738701048429916e-23	TRBV14
AC090578.2	2.6408609150985782	5.758640768167193e-23	AC090578.2
AC051619.1	3.946805213734832	5.844859709666021e-23	AC051619.1
KLF5	-1.5003965258120011	5.915576707883371e-23	KLF5
TNFSF15	-1.257993435157669	5.981848122841137e-23	TNFSF15
LINC00989	1.3840890384430604	5.982842159839272e-23	LINC00989
OR7C1	1.548937014421906	6.055430176999733e-23	OR7C1
RN7SL608P	1.8822830981467256	6.068548523771412e-23	RN7SL608P
MTHFD2P1	2.694044965406177	6.13467805827575e-23	MTHFD2P1
AL596087.2	4.113284569102282	6.144531887237065e-23	AL596087.2
CCDC192	1.149919566020992	6.164838880367278e-23	CCDC192
LINC01422	1.4448996981717823	6.245256745568066e-23	LINC01422
AP001273.1	1.0561634637300854	6.280253262699041e-23	AP001273.1
AC026412.2	1.9219257603609448	6.294788627814418e-23	AC026412.2
AL022316.1	1.473699524513408	6.379903022186947e-23	AL022316.1
AC010201.2	1.5323321593264911	6.393741291807178e-23	AC010201.2
PPT2-EGFL8	1.6455003775378592	6.395032575546503e-23	PPT2-EGFL8
AC093575.1	-2.644452560712753	6.565629487178849e-23	AC093575.1
ITGB1-DT	1.8593990688389688	6.573009154910804e-23	ITGB1-DT
C5orf66	1.3140550149674348	6.578810675999802e-23	C5orf66
LINC02421	1.931214047592777	6.668429779045767e-23	LINC02421
CX3CR1	1.6457648822964512	6.733622555334251e-23	CX3CR1
FAM238C	1.7517397834446462	6.922011543268503e-23	FAM238C
LINC01827	3.14143986423606	6.925704237574844e-23	LINC01827
TRIM74	2.230549785646364	6.952707734326446e-23	TRIM74
RAB25	-3.471102696643949	7.068309109351744e-23	RAB25
GXYLT2	1.9475943281541008	7.148434611779651e-23	GXYLT2
AC006557.1	2.216707401883589	7.167688419641031e-23	AC006557.1
PCBP2-OT1	2.3586243533761486	7.250056140749572e-23	PCBP2-OT1
TAF10	1.0851367871002338	7.251209364804948e-23	TAF10
AC105429.1	1.988383842370752	7.253432038526861e-23	AC105429.1
RPL38P5	2.0197176124590053	7.424440254461927e-23	RPL38P5
AMELY	-3.6322705154088286	7.440441154965844e-23	AMELY
HS3ST5	-3.201787375904336	7.66640236852051e-23	HS3ST5
AC009951.6	1.309047271431913	7.771596126855472e-23	AC009951.6
AL162457.1	3.165762066386315	8.068636222694325e-23	AL162457.1
AL022238.2	1.9274687593041069	8.153821053627733e-23	AL022238.2
MYH3	1.432575882392131	8.228256461541873e-23	MYH3
AL157834.1	2.8515724291948765	8.323617434883002e-23	AL157834.1
NCLP1	2.1964244356554525	8.430421071647643e-23	NCLP1
ZP2	-2.649893119345901	8.458845161194261e-23	ZP2
TDRD5	-2.8410070013574797	8.654839268181681e-23	TDRD5
CLIC3	1.6346424714854224	8.756672225948962e-23	CLIC3
RDH5	1.327738101802462	8.761743091298616e-23	RDH5
B3GALT2	-1.5979467906716676	8.774533813652202e-23	B3GALT2
RASSF9	-1.4619061932342214	8.815641640352399e-23	RASSF9
GTF2IP23	1.477536448789842	8.987728333096393e-23	GTF2IP23
LINC01831	-4.771169905967209	9.081109181756492e-23	LINC01831
LINC02516	2.268195208159961	9.081109181756492e-23	LINC02516
ROPN1L	1.2558963326633124	9.388975405666167e-23	ROPN1L
AC007497.1	1.8638633498153423	9.522629897545926e-23	AC007497.1
AC074194.1	1.7147641967818794	9.635232470456429e-23	AC074194.1
SNORD46	2.2848109618697587	9.696140284365516e-23	SNORD46
ADAMTSL2	-1.3133051827276894	9.805585599467322e-23	ADAMTSL2
AC046195.1	-2.7455512546490124	9.819446953844604e-23	AC046195.1
AC007038.1	1.369306276381848	9.8629520413376e-23	AC007038.1
FLT4	1.1285582860839414	9.866589954979942e-23	FLT4
AC007637.1	-1.2180185952400595	9.874427826243007e-23	AC007637.1
AL139288.2	1.5879655350416892	9.990291367440785e-23	AL139288.2
AC087071.2	-1.1645719717870446	1.0020058929346618e-22	AC087071.2
MME	-1.80636786128828	1.0160342193858952e-22	MME
CABP7	1.8656289436705504	1.0165414863999137e-22	CABP7
SNORD123	2.852770784497983	1.0271920134241668e-22	SNORD123
AC244035.3	2.811635158256024	1.0391358053632414e-22	AC244035.3
TMCC2	-1.0245035649147938	1.049282040841348e-22	TMCC2
AC137561.1	1.2763288790258616	1.0565080376836584e-22	AC137561.1
AC007347.1	2.3089205171410714	1.0620967360112946e-22	AC007347.1
MIR23C	4.548329942481147	1.0700191573799509e-22	MIR23C
AADACL4	-2.715611114676551	1.0856923758111971e-22	AADACL4
AL136295.2	1.698537692017836	1.0909857561435135e-22	AL136295.2
AC092119.3	-1.3937890383534912	1.093715401712612e-22	AC092119.3
AP005131.1	1.7319371417475833	1.0989257613602243e-22	AP005131.1
FOLR2	1.3825538233358945	1.0993570543442272e-22	FOLR2
AC099786.1	5.139040063342964	1.1048164868562018e-22	AC099786.1
AC138956.1	1.675308967073751	1.1315868349045322e-22	AC138956.1
LINC01780	-1.8142680761224557	1.133891150033196e-22	LINC01780
LINC02416	3.426853127038948	1.1449639870028953e-22	LINC02416
COL15A1	1.4147511497893064	1.1484793165427743e-22	COL15A1
PLPP4	-2.492215125268412	1.1646359426970394e-22	PLPP4
AC007787.2	2.365480308088494	1.2095891553482595e-22	AC007787.2
AC010719.1	2.0064881387793725	1.2136868996638972e-22	AC010719.1
AL138889.3	3.482362129911112	1.2330807761260212e-22	AL138889.3
IGSF5	-2.241843366766536	1.2354101627836533e-22	IGSF5
FOXE3	-2.160658666558108	1.2414732396095248e-22	FOXE3
EML4-AS1	2.0180120060925493	1.246799890606251e-22	EML4-AS1
AP001994.1	3.0766895601727065	1.2546985374056011e-22	AP001994.1
SNX22	1.3771384765276262	1.2681667589692172e-22	SNX22
RBM44	1.4287882731853982	1.288517251590202e-22	RBM44
PKHD1L1	-2.06055227339545	1.2931101095340682e-22	PKHD1L1
PCDH12	1.1593967228279165	1.3068406300376817e-22	PCDH12
AC138207.4	1.0622095147256798	1.3186797012458942e-22	AC138207.4
MCF2L-AS1	-2.208519619526617	1.3242990301592818e-22	MCF2L-AS1
AC009902.2	1.6848484311484202	1.3505076707773405e-22	AC009902.2
RPLP1P6	1.1168103782602172	1.356498352926548e-22	RPLP1P6
AC093110.1	1.368932132760893	1.362617717143896e-22	AC093110.1
MMP13	4.575303802117362	1.3949241132007157e-22	MMP13
CCL28	1.523935176315494	1.4073691061837737e-22	CCL28
MIR7848	3.6802984326222954	1.4100778540534397e-22	MIR7848
AC131212.2	1.7005200779307106	1.4229147453294396e-22	AC131212.2
DNM1P46	1.3449391743788757	1.4410609105550998e-22	DNM1P46
AL163534.1	1.6361447728902423	1.4465677402259521e-22	AL163534.1
AP005131.4	2.619477394358599	1.451613685959884e-22	AP005131.4
AP000344.1	-2.321594505031957	1.4522516083157533e-22	AP000344.1
CBLN4	2.067054124555227	1.4547098753616292e-22	CBLN4
KCNH3	-1.9587188344400916	1.458349319598322e-22	KCNH3
LINC02515	4.226176057170564	1.4693781665144233e-22	LINC02515
IMPDH1P5	2.199787742706675	1.48767556520471e-22	IMPDH1P5
AC092301.1	1.8116901731533777	1.515182544415626e-22	AC092301.1
NOP2	1.4505115719151358	1.5274150566292042e-22	NOP2
PCDHGB9P	1.5587410455130268	1.538999393656996e-22	PCDHGB9P
FXYD7	1.9441884367870104	1.5534095036357277e-22	FXYD7
LRRC41	1.090842171854567	1.5599265950488363e-22	LRRC41
SUSD2	-1.5104911609828051	1.5812864491484825e-22	SUSD2
IL12RB2	2.642224384423895	1.6135025972931201e-22	IL12RB2
AC005154.4	1.842221070526536	1.6196241970113842e-22	AC005154.4
RPS2P17	1.310006594379162	1.6403352841498317e-22	RPS2P17
HOMER3-AS1	1.0444175827275004	1.6446704899867786e-22	HOMER3-AS1
AL009179.1	2.310091778976352	1.6519856801278351e-22	AL009179.1
HMGB2P1	2.3549540475493	1.660590863695721e-22	HMGB2P1
AC103724.4	2.060527782820086	1.6646647969225621e-22	AC103724.4
IL21R-AS1	2.3897706112240424	1.6671300126315034e-22	IL21R-AS1
FAM182B	1.1111190897660956	1.670342145762898e-22	FAM182B
Z93241.1	2.630724810121048	1.6726201725752662e-22	Z93241.1
TARID	-1.9519156241956663	1.6736155100640018e-22	TARID
BCAT1	1.4159828104916918	1.6788946940456186e-22	BCAT1
AC091891.1	-4.132856755597999	1.694956819492067e-22	AC091891.1
AL355999.1	1.1725063039229264	1.73128764495832e-22	AL355999.1
AL162430.2	2.01960861071906	1.7340170159294985e-22	AL162430.2
ROCR	3.5584305989765177	1.738723418090877e-22	ROCR
AL355987.4	1.8242169555329928	1.7396629576667985e-22	AL355987.4
SPINK5	2.1507847554715345	1.7417770048965144e-22	SPINK5
HNRNPA1P17	3.822926618303761	1.8091469493188344e-22	HNRNPA1P17
KCNN4	1.6379132764256663	1.8107088453084268e-22	KCNN4
ZNF878	-1.2078110063297958	1.813458050414808e-22	ZNF878
SYT1	-2.235746887640936	1.82467567793816e-22	SYT1
FBXL16	1.5641217283506774	1.862507515890108e-22	FBXL16
MT1HL1	-2.483660171022887	1.9023195806899025e-22	MT1HL1
PRC1	1.4857511532832586	1.9197269878865645e-22	PRC1
MTAPP2	2.458289175378177	1.9335917391661624e-22	MTAPP2
TERF1P7	1.1930884206228962	1.9744573016735505e-22	TERF1P7
LIM2	3.18391494152846	2.0021413498029957e-22	LIM2
AQP7P2	-2.9911654038566327	2.0573792882786805e-22	AQP7P2
AP000812.1	1.7193831635950447	2.0956719396917685e-22	AP000812.1
FAM182A	1.7201495940252212	2.120894509702044e-22	FAM182A
AC002128.1	1.6290558129642403	2.1345780555782547e-22	AC002128.1
RN7SL535P	2.2347079173385285	2.1902171146833312e-22	RN7SL535P
GATA5	-2.1824216135829047	2.2900531571984926e-22	GATA5
AP001001.1	1.4980575306300272	2.30663116904865e-22	AP001001.1
AL031705.1	2.0454939495818514	2.3126999273144283e-22	AL031705.1
RASGRP2	1.086033643331283	2.322522784038284e-22	RASGRP2
AXIN2	-1.094881684193644	2.3852141607396983e-22	AXIN2
PRSS27	1.172948013438457	2.4005995401392544e-22	PRSS27
AL450467.1	2.150823283300209	2.4019747484437847e-22	AL450467.1
AC073149.1	-1.5221085055034045	2.40966344363931e-22	AC073149.1
AL157395.1	1.437759018697756	2.4309366704635323e-22	AL157395.1
FAM153B	2.739588648448399	2.4479003118911843e-22	FAM153B
TRBV24-1	2.2399565117488973	2.4621203887327923e-22	TRBV24-1
SH2D1B	1.2155201112696172	2.4857858282320533e-22	SH2D1B
AC091564.1	2.1980661283937377	2.4966330167635284e-22	AC091564.1
AC018737.2	2.7669108254137607	2.619798826052594e-22	AC018737.2
AC008957.1	1.751735724818681	2.621277958954097e-22	AC008957.1
SELE	-1.8391826320259927	2.6467050512626103e-22	SELE
NTNG2	1.708205108312045	2.712655298698276e-22	NTNG2
SCML4	1.3615077177632766	2.7217589107145527e-22	SCML4
PRG2	3.614109426937839	2.7859784878932644e-22	PRG2
AC005837.3	2.219881538690169	2.7865100092660813e-22	AC005837.3
GLRX5P3	1.8277044062199816	2.8185956016393623e-22	GLRX5P3
AC005906.3	4.446328421865262	2.820177631747005e-22	AC005906.3
AL513218.1	2.289000974656145	2.8534524344672515e-22	AL513218.1
DQX1	2.972427833760879	2.9141805348724983e-22	DQX1
A3GALT2	2.279120860260038	2.9355608850611e-22	A3GALT2
AL356752.1	3.290331153847146	2.9710341626498973e-22	AL356752.1
AC055720.1	3.5815190077642103	2.986810106827289e-22	AC055720.1
FTH1	1.2536899110006718	2.9961104136894977e-22	FTH1
AC011448.1	1.9753580352022528	3.034828143788494e-22	AC011448.1
AC008735.4	1.306071909799098	3.040894804241982e-22	AC008735.4
AL355798.1	4.711647584772822	3.076475225308116e-22	AL355798.1
PHYH	-1.1414749570058893	3.184537594179152e-22	PHYH
PTGER3	-2.106036239891203	3.2741408371102773e-22	PTGER3
AP4B1-AS1	1.7151939790910695	3.31953104612532e-22	AP4B1-AS1
AC006062.1	2.5312090491618533	3.3500183965251776e-22	AC006062.1
AC068580.4	1.9331741267013876	3.3713944135537135e-22	AC068580.4
AC245060.6	1.4281796150571244	3.4029748640039663e-22	AC245060.6
HCG25	1.3675317742917847	3.4075206040077697e-22	HCG25
SLC7A14	-2.9958308778249925	3.4118743303717674e-22	SLC7A14
AC016722.2	1.4605396313154295	3.425775835734707e-22	AC016722.2
HAL	1.5191677831861785	3.4609847838546017e-22	HAL
ANO9	1.6826137294463217	3.487566212559156e-22	ANO9
ADH1B	-2.5892248675256044	3.492777704685138e-22	ADH1B
KIF4B	2.386597103304578	3.5293593103598147e-22	KIF4B
BTG3-AS1	-1.4366315793444604	3.5317225177320243e-22	BTG3-AS1
CYP4F22	1.5076517581631876	3.542790550196531e-22	CYP4F22
AC068299.1	3.2588871743372683	3.618886386378612e-22	AC068299.1
AC110620.2	1.6535971795044118	3.623240683859051e-22	AC110620.2
LINC02224	-3.04514942619286	3.639435815988933e-22	LINC02224
H2BC9	2.1530430628689725	3.7315158196352817e-22	H2BC9
CD44	1.4089033096426662	3.78976743969333e-22	CD44
AC007448.5	1.2482882685398886	3.8104281814407712e-22	AC007448.5
XACT	2.361477447401971	3.8327644980706793e-22	XACT
RASL11A	-1.0623019003134788	3.927298685909912e-22	RASL11A
LINC01127	2.9145095163065267	3.92769161384531e-22	LINC01127
RN7SL113P	2.402622570951463	3.930805498790764e-22	RN7SL113P
AC019257.9	4.660534259377121	3.943416861678817e-22	AC019257.9
SYNPO	1.117093105243642	3.945348176211622e-22	SYNPO
GOLGA6L9	1.3159565897720578	3.947126125307936e-22	GOLGA6L9
MESP1	1.2706491913634217	3.9563496049315624e-22	MESP1
AL365209.1	2.128036967363805	3.985934405420043e-22	AL365209.1
KLHL17	1.1295731648577954	4.0033421329143416e-22	KLHL17
PPP1R14D	2.6595714764478355	4.138171455611672e-22	PPP1R14D
AC063977.2	2.448699664304581	4.154463164683718e-22	AC063977.2
TRAV26-2	2.751880888220521	4.2277476064467434e-22	TRAV26-2
NPPA	2.036419365971303	4.325796624445596e-22	NPPA
AC069360.1	2.39913079486039	4.408451788125961e-22	AC069360.1
TRBJ2-2P	2.526191499960213	4.433239209499403e-22	TRBJ2-2P
RN7SL558P	2.8638432129416955	4.442494493096759e-22	RN7SL558P
AC010729.2	4.541009241638754	4.4750674720244135e-22	AC010729.2
AC110015.1	2.4324850677913377	4.622916086044683e-22	AC110015.1
AL356010.2	4.105839777771138	4.687588388464743e-22	AL356010.2
AC010326.3	1.0006605581730903	4.688865343093397e-22	AC010326.3
AC000036.1	2.65823936329636	4.699978280097786e-22	AC000036.1
AC016383.3	-2.990875640957245	4.740402574660882e-22	AC016383.3
FGF12-AS2	2.375835012475216	4.756285145501306e-22	FGF12-AS2
AC027279.1	2.1715730746962816	4.811935783474317e-22	AC027279.1
AC090286.4	2.1302970651052915	4.8559075267901575e-22	AC090286.4
Z98885.3	1.8096610201174197	4.898793384071909e-22	Z98885.3
RGSL1	3.154397068991615	5.02884725710392e-22	RGSL1
GPHN	-1.1655735069315378	5.103890513014431e-22	GPHN
AC087276.1	1.940549739246281	5.155139859954437e-22	AC087276.1
AC005006.1	2.408972717832965	5.199009727276645e-22	AC005006.1
RPL35AP5	2.192166785908659	5.276492031852476e-22	RPL35AP5
AC034102.6	1.734188607704587	5.277741838725044e-22	AC034102.6
ASB9P1	1.930089628415987	5.304286519825359e-22	ASB9P1
FSCN3	1.967829385229424	5.345702394605515e-22	FSCN3
PCDH15	-3.975080748378116	5.349199016116422e-22	PCDH15
LINC02453	-1.2465036170426715	5.370621166189851e-22	LINC02453
AC005740.4	1.1109257213896315	5.428716542320949e-22	AC005740.4
BX842568.3	-3.644333086353556	5.444514969669649e-22	BX842568.3
SYNE4	-2.1239228807257216	5.453834689175778e-22	SYNE4
RFPL3S	1.8803745213584808	5.510934933850903e-22	RFPL3S
HNRNPA1P59	1.515442793082045	5.521439691077988e-22	HNRNPA1P59
TMEM86B	1.3000824342308237	5.523140585507914e-22	TMEM86B
AC084026.2	2.393202264504405	5.536973708513233e-22	AC084026.2
LINC01783	-2.300948018504122	5.556203742739868e-22	LINC01783
RPS20P4	2.462429485703175	5.7134671105944575e-22	RPS20P4
HLA-DRB5	1.3348504557616334	5.8130155319639855e-22	HLA-DRB5
IFRD1	1.0303510697302596	5.927017741360926e-22	IFRD1
RP1	-1.4785494480469326	5.929702165212687e-22	RP1
AC048341.2	1.676418581038207	6.025639734633185e-22	AC048341.2
TCTEX1D4	1.3970627465824177	6.044568562793322e-22	TCTEX1D4
GASK1B	1.2061926259335731	6.062462380882334e-22	GASK1B
AL135841.1	1.8077795019034144	6.07661412258274e-22	AL135841.1
AL359220.1	1.196166571733595	6.1293258438504815e-22	AL359220.1
AC022387.2	-1.044982228441753	6.233498050179384e-22	AC022387.2
RN7SL481P	2.016649859681672	6.233498050179384e-22	RN7SL481P
C5orf38	-2.533013372139149	6.3341190558065055e-22	C5orf38
CBFA2T3	1.065227556664554	6.345723786538269e-22	CBFA2T3
AL731733.1	1.663763457573648	6.427174687422776e-22	AL731733.1
PCDHGC3	1.0887987032739683	6.428046867696457e-22	PCDHGC3
AC112722.1	1.8056287770764856	6.548654256105279e-22	AC112722.1
TUBAP2	1.1220782485601872	6.60719003748971e-22	TUBAP2
LIPN	1.8115332272353997	6.60719003748971e-22	LIPN
PCDH1	-1.0125379549174094	6.663049199799687e-22	PCDH1
IFNG-AS1	2.2234423856352628	6.688136785399432e-22	IFNG-AS1
NACAP8	-1.6027143704324502	6.708061949098602e-22	NACAP8
AC105450.1	2.8646190248957764	6.752535643988997e-22	AC105450.1
UBE2Q2P1	1.211413344550302	6.865538646247641e-22	UBE2Q2P1
AL137139.2	1.4817864926822173	6.9205658463692805e-22	AL137139.2
AC135279.2	2.040098721643026	6.977895215375168e-22	AC135279.2
AC023830.3	1.9211407078003928	6.984552421600807e-22	AC023830.3
AP002784.1	1.137888663796233	7.051386729767586e-22	AP002784.1
AC009554.2	1.503921326681526	7.06104115650211e-22	AC009554.2
AC026979.3	1.0005416531716682	7.09360117298807e-22	AC026979.3
TRBV25-1	2.842199765498977	7.1072072719086485e-22	TRBV25-1
MIR6819	3.0508035029871423	7.130261734011615e-22	MIR6819
UCKL1-AS1	1.630078613617492	7.131290691805671e-22	UCKL1-AS1
MIOX	-2.327758691832242	7.155843134965029e-22	MIOX
AC103591.3	1.787298594928615	7.310483384282787e-22	AC103591.3
NABP1	1.1542586842191522	7.31735695196732e-22	NABP1
TMEM200B	1.15611265770268	7.3653259283125955e-22	TMEM200B
LINC00461	-3.0259779908350644	7.595728681141267e-22	LINC00461
AC147067.1	1.1663174732089752	7.59577490675513e-22	AC147067.1
AL928654.2	1.5025711001931752	7.625012178936964e-22	AL928654.2
MYO10	-1.1191211707317763	7.7238419239439075e-22	MYO10
PI4KAP2	1.0195577467061152	7.793871292897951e-22	PI4KAP2
LINCMD1	2.0601523922845058	7.80755358300735e-22	LINCMD1
JSRP1	2.4775248460158874	7.874554160695475e-22	JSRP1
SPON2	1.7854979956622248	7.956972100903315e-22	SPON2
KLRC2	2.5449547623628046	7.964219163835291e-22	KLRC2
AC098484.4	1.3416906348741366	8.032425388914504e-22	AC098484.4
SOD2	1.1961076398474215	8.032425388914504e-22	SOD2
COL11A1	2.722017465601233	8.056111742671099e-22	COL11A1
H3P25	2.730554072540878	8.139227979355174e-22	H3P25
SENCR	1.00336149872696	8.214705435087258e-22	SENCR
AC245884.10	2.9343749651892312	8.224569155028973e-22	AC245884.10
AC007728.3	2.8498034838868844	8.294660465951895e-22	AC007728.3
AC017116.2	1.7885432333480304	8.303478175401627e-22	AC017116.2
AC011939.1	2.3075678493715155	8.452542880862696e-22	AC011939.1
AP003110.1	-1.9554357592652591	8.4669765148441e-22	AP003110.1
Z69666.1	2.262423697917705	8.471305639442382e-22	Z69666.1
AGAP13P	1.8535981461165327	8.601354048404612e-22	AGAP13P
PRANCR	1.176496184157779	8.68234003755284e-22	PRANCR
CASS4	1.221149297964069	8.684042419764524e-22	CASS4
LRP1B	-2.55803762180794	8.734614368201497e-22	LRP1B
FOXF2	1.728745952716954	8.832501573734353e-22	FOXF2
LINC02680	2.3589901474213253	8.920347561514724e-22	LINC02680
AC007406.2	1.8454619640916208	9.070118223160964e-22	AC007406.2
AC005912.2	2.298435910426642	9.179419826524725e-22	AC005912.2
CHGA	-2.686638533398398	9.211630685489085e-22	CHGA
AC002550.2	1.1297592690401013	9.304201307067534e-22	AC002550.2
AC011416.4	-1.4135397411199488	9.41913516091821e-22	AC011416.4
AC134043.3	1.180468417003364	9.532764823504817e-22	AC134043.3
AC107081.3	1.5021254087697746	9.671476693203362e-22	AC107081.3
AP000997.4	3.501861131124527	9.91125158509921e-22	AP000997.4
SCN1A	2.3602760633095814	9.93470914938113e-22	SCN1A
ATP6V0C	1.7935928701606534	9.946642089525729e-22	ATP6V0C
AC023790.2	-1.091297713661081	9.946642089525729e-22	AC023790.2
AL512791.1	1.4715605184465013	9.992092561009929e-22	AL512791.1
AP001107.8	2.574906029760995	1.0011367546842905e-21	AP001107.8
NIM1K	1.5618546231875443	1.0036370263398597e-21	NIM1K
GAPDHP65	1.1860095853951411	1.0111156360248684e-21	GAPDHP65
FAM86GP	1.2987992026597794	1.0160235270744753e-21	FAM86GP
AL008727.1	2.164943903309973	1.037981741202358e-21	AL008727.1
FOXA3	-2.8744093641843347	1.0409230844889386e-21	FOXA3
SNORA66	1.7934478020969853	1.0442082126227624e-21	SNORA66
H4C11	2.1581941026810045	1.0506600063219226e-21	H4C11
ATP2C2	-2.02329408260034	1.0664836971780676e-21	ATP2C2
PZP	1.5475513084621235	1.0671528719875575e-21	PZP
OR7E102P	-2.0795586751868687	1.0716479836626445e-21	OR7E102P
