gene_raw	rna_log2fc	rna_fdr	gene_name
BHLHE41	2.753176546303868	1.5899239422023764e-124	BHLHE41
TRPV2	1.9720588304700533	3.799725425962667e-124	TRPV2
ARMH4	-3.5855791484115294	3.115436357834385e-123	ARMH4
CD1D	2.2730050695164805	8.96908067635466e-123	CD1D
CD300A	2.9622620031661584	1.418020476684657e-122	CD300A
LAMA4	2.6494943360437686	1.549504453099889e-122	LAMA4
CLDN16	-5.926908097655367	1.790489418194111e-122	CLDN16
C5orf46	7.708582826081019	4.561886783287007e-122	C5orf46
HLA-F	2.466297003452405	6.936420432554676e-122	HLA-F
COLGALT1	1.721863514544803	8.928075245258872e-122	COLGALT1
CD40	1.823651095254478	3.781630984461828e-121	CD40
AC078883.1	2.0056571311164983	4.1205836821570555e-121	AC078883.1
LINC01983	-7.290345005620371	5.027779236248969e-121	LINC01983
NNMT	3.9118823713506776	1.1851995321268565e-120	NNMT
GAL3ST4	2.8879056613548717	1.4251277461498571e-120	GAL3ST4
GAS2L3	3.0991225288402644	3.4079962197853355e-120	GAS2L3
WNK4	-4.071211675656708	3.581240498313146e-120	WNK4
PRDM1	2.2634356502090784	9.758203610992193e-120	PRDM1
AL109946.1	6.117434252161207	2.0077502210772922e-119	AL109946.1
LINC01077	6.837887696402307	6.320559336860669e-119	LINC01077
AC093418.1	6.888700463330035	7.425896441029922e-119	AC093418.1
AKAP3	-2.352785816885729	7.826252147806911e-119	AKAP3
TRPV6	-4.788363010411167	8.53470686556049e-119	TRPV6
OSTM1-AS1	7.321440693997119	9.30798191192582e-119	OSTM1-AS1
CD300LF	2.9995239138521588	1.1837777931901536e-118	CD300LF
FCGR3A	3.317523127046002	1.869945080315028e-118	FCGR3A
ACSF2	-3.298985806979658	2.4438862058442293e-118	ACSF2
HS6ST2	-6.263433307675004	2.6548475546820458e-118	HS6ST2
PLXDC1	2.9094627409944347	3.832961901323296e-118	PLXDC1
WAKMAR2	2.3868825834309697	3.5762920087931046e-117	WAKMAR2
AC023421.1	-6.508377969360835	4.164419293901216e-117	AC023421.1
ITGAD	4.78732194951274	5.179669164646999e-117	ITGAD
AC138207.5	2.436518889342021	8.805928921659168e-117	AC138207.5
AC009084.2	5.667356354285743	1.0761729706078057e-116	AC009084.2
AC022509.2	4.958154858610021	1.3593816666647253e-116	AC022509.2
GJC1	2.7345203508878035	3.82848201899136e-116	GJC1
DUSP9	-6.798993856564697	6.270413326022915e-116	DUSP9
BIRC7	7.058842222439165	2.047698516086352e-115	BIRC7
PTHLH	6.413222296795671	5.441343535229203e-115	PTHLH
HLA-B	1.9396344068475304	7.179211809030347e-115	HLA-B
AC073172.1	-6.821615260709836	7.608083482707585e-115	AC073172.1
LCP2	2.216514945329009	1.1286549053261083e-114	LCP2
DGKD	2.1083482251657744	1.153845374191505e-114	DGKD
LYPLAL1-DT	-2.2408433190869315	1.2563313663039787e-114	LYPLAL1-DT
